company_id,company_name,year,distress_level,signal_count,signals,CFO_cr,PAT_cr,FCF_cr,Debt_to_Equity,Interest_coverage,Current_debt_cr,Previous_debt_cr
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2024,Medium,2,High debt-to-equity; Rising debt,6038.0,589.0,1095.0,2.93252116130053,2.284784965666787,39009.0,37070.0
ADANIENT,Adani Enterprises Ltd,Mar 2024,High,3,Negative FCF; High debt-to-equity; Rising debt,10312.0,6086.0,-8455.0,1.671358378544375,2.7492864983534577,80427.0,65310.0
ADANIGREEN,Adani Green Energy Ltd,Mar 2024,High,3,Negative FCF; High debt-to-equity; Rising debt,7713.0,1928.0,-13347.0,6.595281675818589,1.713943268078306,67430.0,64858.0
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Mar 2024,Medium,1,Rising debt,15018.0,9743.0,8250.0,0.9373223691689719,5.949506037321624,50485.0,49470.0
ADANIPOWER,Adani Power Ltd,Mar 2024,Medium,1,Rising debt,14170.0,12686.0,17651.0,0.8023177656738903,8.297225501770956,37705.0,34616.0
AMBUJACEM,Ambuja Cements Ltd,Mar 2024,Medium,2,Negative FCF; Rising debt,5646.0,3871.0,-3295.0,0.01686125048243921,28.264492753623188,779.0,699.0
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Mar 2024,Medium,1,Rising debt,1920.0,1224.0,383.0,0.7688869665513264,5.565701559020044,7371.0,5333.0
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2024,Medium,1,Rising debt,6104.0,4631.0,3556.0,0.1321016659547202,41.00487804878049,2516.0,2474.0
AXISBANK,Axis Bank Ltd,Mar 2024,High,4,Negative CFO; Negative FCF; High debt-to-equity; Rising debt,-5555.0,26386.0,-14556.0,8.249122739980766,1.691203992514036,1295302.0,1152038.0
BAJAJ-AUTO,Bajaj Auto Ltd,Mar 2024,Medium,1,Rising debt,6558.0,7371.0,6486.0,0.06601754022512257,174.41666666666666,5245.0,1912.0
BAJAJFINSV,Bajaj Finserv Ltd,Mar 2024,High,4,Negative CFO; Negative FCF; High debt-to-equity; Rising debt,-68674.0,16520.0,-79634.0,4.789368120938867,2.197130112323319,318675.0,288933.0
BAJFINANCE,Bajaj Finance Ltd,Mar 2024,High,4,Negative CFO; Negative FCF; High debt-to-equity; Rising debt,-72760.0,15389.0,-79931.0,3.824788776468134,2689.1666666666665,324218.0,293346.0
BANKBARODA,Bank of Baroda,Mar 2024,High,4,Negative CFO; Negative FCF; High debt-to-equity; Rising debt,-6274.0,20144.0,-7559.0,12.143718727289434,1.8967477242617206,1453761.0,1342592.0
BEL,Bharat Electronics Ltd,Mar 2024,Medium,2,Negative FCF; Rising debt,4659.0,4541.0,-1265.0,0.5119047619047619,476.75,78.0,43.0
BHARTIARTL,Bharti Airtel Ltd,Mar 2024,Medium,2,High debt-to-equity; Rising debt,78898.0,13816.0,27809.0,2.6094723973904306,3.3055457435535147,225541.0,215592.0
BHEL,"Bharat Heavy Electricals Limited
",Mar 2024,High,3,Negative CFO; Negative FCF; Rising debt,-3713.0,445.0,-2382.0,0.36238644733611586,1.5929951690821256,9128.0,8856.0
BPCL,Bharat Petroleum Corporation Ltd,Mar 2024,Medium,1,Rising debt,35936.0,13734.0,25415.0,0.7218747934157467,11.355507351168956,58880.0,54599.0
BRITANNIA,Britannia Industries Ltd,Mar 2024,Medium,1,Rising debt,2573.0,2129.0,3050.0,0.5239786856127886,20.597560975609756,2754.0,2065.0
CANBK,Canara Bank,Mar 2024,Medium,2,High debt-to-equity; Rising debt,15046.0,16571.0,13296.0,14.867419925542423,1.6106611743349857,1369780.0,1237160.0
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Mar 2024,High,4,Negative CFO; Negative FCF; High debt-to-equity; Rising debt,-35683.0,3852.0,-38538.0,6.863420609401317,21.211764705882352,157943.0,134475.0
COALINDIA,Coal India Ltd,Mar 2024,Medium,1,Rising debt,18103.0,34350.0,13617.0,0.0788468512027076,11.24178180085755,7816.0,6523.0
DABUR,Dabur India Ltd,Mar 2024,Medium,1,Rising debt,2013.0,1760.0,1042.0,0.13835394283397526,23.241935483870968,1752.0,1365.0
DIVISLAB,Divis Laboratories Ltd,Mar 2024,Medium,1,Rising debt,1261.0,1836.0,992.0,0.0002210596124088129,636.25,8.0,3.0
